id,name,code,,
1,Abu Dabi,CDST0189_001,,
2,ALASKA,CDST0001_001,,
3,AMAVENI,CDST0002_001,,
4,AMFCC HARARE,CDST0181_001,,
5,Anniversary,CMIN0003_001,,
6,ARCTURUS,CDST0003_001,,
7,ASCOT,CDST0004_001,,
8,Australia,CCUN0001_001,,
9,Baines District,CDST0207_001,,
10,BANKET,CDST0005_001,,
11,BEATRICE,CDST0006_001,,
12,BEIT BRIDGE,CPRV0001_001,,
13,Beitbridge Christian Centre,CDST0202_001,,
14,BELLEVUE,CDST0007_001,,
15,BIKITA,CDST0008_001,,
16,BINDURA,CPRV0002_001,,
17,BINGA,CPRV0003_001,,
18,BIRCHNOUGH,CDST0009_001,,
19,BORROWDALE,CDST0010_001,,
20,Botswana,CCUN0002_001,,
21,BRAESIDE 781298,CDST0011_001,,
22,Budiriro 1,CDST0195_001,,
23,Budiriro 2,CDST0196_001,,
24,Buhera Province,CPRV0054_001,,
25,BULAWAYO NORTH,CPRV0004_001,,
26,BULAWAYO SOUTH,CPRV0005_001,,
27,BYO MIRACLE CENTER,CDST0182_001,,
28,BYO REVIVAL CENTRE,CDST0013_001,,
29,Canada,CCUN0003_001,,
30,CASH HIRINGS,CDST0192_001,,
31,CENTENARY,CDST0015_001,,
32,CHECHECHE,CDST0016_001,,
33,CHEGUTU,CDST0017_001,,
34,CHIBUWE,CDST0018_001,,
35,CHIKOMBEDZI,CPRV0006_001,,
36,CHIMANIMANI,CDST0019_001,,
37,Chimanimani Province,CPRV0043_001,,
38,CHINHOYI,CPRV0007_001,,
39,Chinhoyi Province,CPRV0044_001,,
40,Chipinge Province,CPRV0042_001,,
41,Chipinge South,CPRV0050_001,,
42,CHIREDZI,CPRV0009_001,,
43,CHIRIGA,CDST0021_001,,
44,CHIRUMANZU,CDST0022_001,,
45,CHISIPITE,CDST0023_001,,
46,CHITUNGWIZA,CPRV0010_001,,
47,CHIVHU,CPRV0011_001,,
48,Christ For Zimbabwe,CMIN0002_001,,
49,CHRISTONBANK,CDST0024_001,,
50,CITADEL,CDST0025_001,,
51,CITY BINDURA,CDST0026_001,,
52,CITY CENTRAL BYO,CDST0027_001,,
53,CITY CHINHOYI,CDST0028_001,,
54,CITY CHIPINGE,CDST0029_001,,
55,CITY CHIREDZI,CDST0030_001,,
56,CITY GWERU,CDST0031_001,,
57,CITY HARARE,CDST0032_001,,
58,CITY KADOMA,CDST0033_001,,
59,CITY MARONDERA,CDST0034_001,,
60,CITY MASVINGO,CDST0035_001,,
61,CITY OF GOLD,CDST0136_001,,
62,CITY TABERNACLE BYO,CDST0037_001,,
63,CONCESSION,CDST0038_001,,
64,COWDREY PARK,CDST0039_001,,
65,DANGAMVURA,CDST0040_001,,
66,DANGAMVURA SOUTH,CDST0041_001,,
67,Dangamvura South East,CDST0201_001,,
68,DOMBOSHAVA,CDST0042_001,,
69,DOMBOTOMBO,CDST0043_001,,
70,Dubai,CDST0188_001,,
71,DZIVARASEKWA,CDST0044_001,,
72,DZIVARASEKWA EXT DISTRICT,CDST0185_001,,
73,Dzivarasekwa Ext District,CMIN0005_001,,
74,EASTERN HIGHLANDS,CDST0045_001,,
75,Eastview,CDST0203_001,,
76,EBENEZER PUMULA SOUTH DISTRICT,CDST0186_001,,
77,EIFFEL FLATS,CDST0046_001,,
78,EMGANWINI,CDST0047_001,,
79,ENTUMBANE,CDST0048_001,,
80,EPWORTH,CDST0049_001,,
81,Ezekiel Centre,CDST0183_001,,
82,Filabusi Province,CPRV0046_001,,
83,GAZA,CDST0050_001,,
84,GLEN NORAH,CDST0052_001,,
85,GLEN VIEW,CDST0053_001,,
86,Glen View District 2,CDST0213_001,,
87,GLENDALE,CDST0051_001,,
88,Go Yee Therefore,CMIN0008_001,,
89,GODS VIEW,CDST0020_001,,
90,GOKWE CENTRE 2,CDST0054_001,,
91,GOKWE PROVINCE,CPRV0012_001,,
92,GOROMONZI,CDST0055_001,,
93,Granary Park District,CDST0206_001,,
94,GREEN VALLEY,CDST0058_001,,
95,GREENDALE,CDST0056_001,,
96,GREENSIDE,CDST0057_001,,
97,GURUVE,CDST0059_001,,
98,Guruve Province,CPRV0052_001,,
99,GUTU,CPRV0013_001,,
100,GWANDA,CPRV0014_001,,
101,GWERU,CPRV0015_001,,
102,Gweru Southview Christian,CDST0036_001,,
103,Harare Central Province,CPRV0055_001,,
104,Harare East - North,CPRV0039_001,,
105,Harare East - South,CPRV0038_001,,
106,HARARE NORTH,CPRV0017_001,,
107,HARARE SOUTH,CPRV0018_001,,
108,HARARE SOUTH EAST,CPRV0048_001,,
109,HARARE SOUTH WEST,CPRV0047_001,,
110,Harare West - North,CPRV0036_001,,
111,Harare West - South,CPRV0037_001,,
112,HARBEN PARK DISTRICT,CDST0187_001,,
113,HATCLIFFE,CDST0060_001,,
114,HATFIELD,CDST0061_001,,
115,HAUNA,CDST0062_001,,
116,HIGHFIELD,CDST0063_001,,
117,HILLSIDE DISTRICT,CDST0191_001,,
118,HIPPO VALLEY,CDST0065_001,,
119,HUNYANI,CDST0066_001,,
120,HURUNGWE EAST,CDST0067_001,,
121,Hurungwe Province,CPRV0045_001,,
122,HWANGE EASTERN,CDST0068_001,,
123,HWANGE PROVINCE,CPRV0020_001,,
124,India,CCUN0004_001,,
125,JERERA,CDST0069_001,,
126,JURU,CDST0070_001,,
127,KADOMA,CPRV0021_001,,
128,KAMBUZUMA,CDST0071_001,,
129,KARIBA,CDST0072_001,,
130,KOTWA,CDST0073_001,,
131,KUWADZANA,CDST0074_001,,
132,Kuwadzana 5 District,CDST0205_001,,
133,KUWADZANA EXT,CDST0075_001,,
134,KWEKWE,CPRV0022_001,,
135,Lesotho,CCUN0005_001,,
136,LUVEVE,CDST0076_001,,
137,LWENDULU,CDST0077_001,,
138,M/CENTER MUTARE,CDST0079_001,,
139,M/CENTRE BYO,CDST0078_001,,
140,MABELREIGN,CDST0080_001,,
141,MABVAZUVA,CDST0081_001,,
142,MABVUKU,CDST0082_001,,
143,MACHEKE,CDST0083_001,,
144,MAFUMISE,CDST0084_001,,
145,MAGUNJE,CDST0085_001,,
146,MAGWEGWE – EZEKIEL C,CDST0086_001,,
147,MAKOSA,CDST0087_001,,
148,Malaysia,CCUN0006_001,,
149,MANDAVA,CDST0088_001,,
150,MANOTI,CDST0089_001,,
151,MANYAME,CDST0090_001,,
152,MANZVIRE,CDST0091_001,,
153,MARAMBAPFUNGWE,CDST0092_001,,
154,MARLBOROUGH,CDST0093_001,,
155,MARONDERA BEST,CDST0094_001,,
156,MARONDERA PROVINCE,CPRV0023_001,,
157,MASASA,CDST0095_001,,
158,MASHAVA,CDST0096_001,,
159,MASVINGO,CPRV0024_001,,
160,Masvingo East Province,CPRV0056_001,,
161,MASVINGO SOUTH,CDST0097_001,,
162,MAUNGWE,CPRV0025_001,,
163,MBARE,CDST0098_001,,
164,MBERENGWA,CPRV0026_001,,
165,MBIZO,CDST0099_001,,
166,Mbizo Miracle City District,CMIN0004_001,,
167,MBIZO MIRACLE CITY DISTRICT,CDST0184_001,,
168,MHANGURA,CDST0100_001,,
169,MKOBA,CDST0101_001,,
170,MKOBA 2,CDST0102_001,,
171,MKWASINI,CDST0103_001,,
172,Mozambique,CCUN0007_001,,
173,MPANDAWANA W,CDST0104_001,,
174,MPOPOMA,CDST0105_001,,
175,MSASA HARARE,CDST0106_001,,
176,MSASA PARK,CDST0107_001,,
177,MT. PLEASANT,CDST0108_001,,
178,MT.DARWIN,CPRV0027_001,,
179,MUBAIRA,CDST0109_001,,
180,MUCHEKE,CDST0110_001,,
181,Mucheke West District,CDST0211_001,,
182,MUFAKOSE,CDST0111_001,,
183,MUNOIRIRWA,CDST0112_001,,
184,MURAMBINDA,CDST0113_001,,
185,MUREWA,CPRV0028_001,,
186,MUROMBEDZI,CDST0115_001,,
187,MUSAMI,CDST0114_001,,
188,MUTARE,CPRV0029_001,,
189,MUTOKO,CDST0116_001,,
190,MUTOKO PROVINCE,CPRV0030_001,,
191,MUZARABANI,CPRV0031_001,,
192,MVUMA,CDST0117_001,,
193,MVURWI,CDST0118_001,,
194,Mzilikazi (Upper class byo),CDST0119_001,,
195,Namibia,CCUN0008_001,,
196,NEMANGWE,CDST0120_001,,
197,NEMBUDZIA,CPRV0032_001,,
198,New Zealand,CCUN0009_001,,
199,NGEZI,CDST0121_001,,
200,NGUNDU,CDST0122_001,,
201,NKETA,CDST0123_001,,
202,NKULUMANE DISTRICT,CDST0190_001,,
203,NKULUMANE-old,CDST0124_001,,
204,NORTON,CPRV0033_001,,
205,Norton City,CDST0197_001,,
206,Norton Katanga,CDST0198_001,,
207,Norton Knowe,CDST0200_001,,
208,Norton Maridale,CDST0199_001,,
209,NYAMENI,CDST0125_001,,
210,NYAMUZUWE,CDST0126_001,,
211,NYANGA,CDST0127_001,,
212,NYANGA Province,CPRV0049_001,,
213,NYANINGWE,CDST0128_001,,
214,NYANYADZI,CDST0129_001,,
215,NYAZURA,CDST0130_001,,
216,NYIKA,CDST0131_001,,
217,PENHALONGA,CDST0132_001,,
218,PHAKAMA,CDST0133_001,,
219,PLUMTREE,CPRV0034_001,,
220,PROJECTS CONTRIBUTIONS,CMIN0007_001,,
221,PUMULA,CDST0134_001,,
222,Qatar,CCUN0010_001,,
223,REDCLIFF,CDST0135_001,,
224,RIMBI,CDST0138_001,,
225,RIMUKA,CDST0137_001,,
226,RUGARE,CDST0139_001,,
227,RUJEKO,CDST0140_001,,
228,RUSITU,CDST0141_001,,
229,RUTENDO,CDST0142_001,,
230,Rutenga Province,CPRV0051_001,,
231,RUWA,CDST0143_001,,
232,SADZA,CDST0144_001,,
233,SAKUBVA,CDST0145_001,,
234,SANYATI,CDST0146_001,,
235,SEKE 1,CDST0147_001,,
236,SEKE 2,CDST0148_001,,
237,SEKE 3,CDST0149_001,,
238,SEKE 4,CDST0150_001,,
239,SEKE 5,CDST0151_001,,
240,SEKE 6,CDST0152_001,,
241,Seke 8,CDST0212_001,,
242,Seke Province,CPRV0040_001,,
243,SENGA,CDST0153_001,,
244,SHAMVA,CDST0154_001,,
245,SHANGANI,CDST0155_001,,
246,SHURUGWI,CDST0156_001,,
247,Shurugwi Province,CPRV0053_001,,
248,SMALDEEL,CDST0157_001,,
249,South Africa,CCUN0011_001,,
250,SOUTHERTON,CDST0158_001,,
251,Southlands,CDST0204_001,,
252,Southlea Park,CDST0193_001,,
253,ST. MARYS,CDST0159_001,,
254,SUNNINGDALE,CDST0160_001,,
255,Swaziland,CCUN0012_001,,
256,TAFARA,CDST0161_001,,
257,TORWOOD,CDST0162_001,,
258,TRIANGLE,CDST0163_001,,
259,TROJAN,CDST0164_001,,
260,TSHOVANI,CDST0165_001,,
261,UK,CCUN0013_001,,
262,Upper Class,CDST0170_001,,
263,USA,CCUN0014_001,,
264,UZUMBA,CDST0166_001,,
265,VENGERE,CDST0167_001,,
266,VICTORIA FALLS,CDST0168_001,,
267,WARREN PARK A,CDST0169_001,,
268,WATERFALLS,CDST0171_001,,
269,Waterfalls East,CDST0194_001,,
270,WATSOMBA,CDST0172_001,,
271,WEDZA,CDST0173_001,,
272,WESTGATE,CDST0175_001,,
273,WEVERLY,CDST0174_001,,
274,Zambia,CCUN0015_001,,
275,ZENGEZA 2,CDST0176_001,,
276,ZENGEZA 3,CDST0177_001,,
277,ZENGEZA 4,CDST0178_001,,
278,Zengeza Province,CPRV0041_001,,
279,ZIMRE PARK,CDST0179_001,,
280,ZIMUNYA,CDST0180_001,,
281,ZVISHAVANE,CPRV0035_001,,
